cluster_id,marker_id,ID,logFC,AveExpr,t,p_val,p_adj,B,celltype,marker
CD4+ EM,CCR10,CD4+ EM,-0.06749139469458468,-0.13007358333333333,-1.7830944834022808,0.09240837825474539,0.6584096950650609,-8.245022152192112,CD4+ EM,CCR10
CD4+ TFH,CD62L,CD4+ TFH,0.37833854822079455,-0.2872051944444444,1.7381889960135437,0.10022850934855063,0.6769753253506976,-6.179659427219173,CD4+ TFH,CD62L
TCRgd+,CD16,TCRgd+,0.07816519326021731,-0.024175666666666665,1.724901871145076,0.10265007043236586,0.6769753253506976,-7.245597406175081,TCRgd+,CD16
CD8+ TE,CD8,CD8+ TE,0.4889088162447674,3.681111111111111,1.7488778760925892,0.09831663356557387,0.6769753253506976,-7.879873202255991,CD8+ TE,CD8
CD4+ TFH,CD8,CD4+ TFH,-0.0785793922858778,0.4171075,-1.7233730645385787,0.10293192081355636,0.6769753253506976,-6.202686052787851,CD4+ TFH,CD8
CD4+ TE,CD3,CD4+ TE,-0.1314254362952861,2.9563055555555553,-1.7123386156748885,0.10498617752583592,0.6774579757327525,-7.4470837578543865,CD4+ TE,CD3
CD4+ Th1,CD39,CD4+ Th1,-0.6585719338992844,0.3060134722222222,-1.6701612081618296,0.11316795296077165,0.7167303687515537,-6.382879274666984,CD4+ Th1,CD39
CD8+ EM,CD8,CD8+ EM,0.40851413507953754,3.229763888888889,1.6368095071233946,0.12001975906120414,0.7329778142666395,-8.351908944058147,CD8+ EM,CD8
CD4+ Naive,CD3,CD4+ Naive,-0.1385758027079305,3.30025,-1.6421834056552915,0.11889235234940149,0.7329778142666395,-6.367394021907605,CD4+ Naive,CD3
CD4+ TFH,CCR10,CD4+ TFH,-0.14343499201907237,-0.18870591111111112,-1.6223312896343023,0.12310265962288021,0.7386159577372813,-6.355965015780942,CD4+ TFH,CCR10
CD4+ Th1,CCR7,CD4+ Th1,0.06535411896899357,0.1502923777777778,1.5891220705632576,0.13042920618651777,0.7626106120776585,-6.503570054282147,CD4+ Th1,CCR7
CD4+ TFH,TCRab,CD4+ TFH,0.17397213087241084,2.1172833333333334,1.5841315381694734,0.13156147986135044,0.7626106120776585,-6.412154919830423,CD4+ TFH,TCRab
CD4+ CM,CD62L,CD4+ CM,0.4430741934599158,-0.20911433333333332,1.5643345820135004,0.1361351676631759,0.7759704556801027,-6.763334832538101,CD4+ CM,CD62L
CD4+ CM,CD45RA,CD4+ CM,-0.08498185372913224,0.015485186111111113,-1.5258077038662263,0.1454196277576571,0.7992761073541211,-6.818533419775299,CD4+ CM,CD45RA
CD4+ TFH,CD16,CD4+ TFH,0.04769372444153732,-0.13637630555555555,1.5131139191371674,0.14859217422083776,0.7992761073541211,-6.513952531192696,CD4+ TFH,CD16
CD4+ Th1,CD107a,CD4+ Th1,-0.30756076540792726,-0.4413446111111111,-1.5000809374658532,0.15190920169011074,0.7992761073541211,-6.631007573597344,CD4+ Th1,CD107a
CD4+ EM,TIM3,CD4+ EM,-0.04829099124855913,0.1167283888888889,-1.5132159986904719,0.14856643359582272,0.7992761073541211,-8.650831196273378,CD4+ EM,TIM3
CD4+ TFH,CD19,CD4+ TFH,-0.03270885551620413,0.05199338888888889,-1.5007374280078458,0.15174066033905834,0.7992761073541211,-6.531330676636028,CD4+ TFH,CD19
CD4+ Th1,CD45RA,CD4+ Th1,-0.09671431637242123,0.08074605277777779,-1.4804392947104936,0.15702404545552726,0.8021897149159822,-6.658365211904819,CD4+ Th1,CD45RA
CD4+ TE,CD39,CD4+ TE,-0.022827417099033114,0.09927397222222223,-1.4799467132036028,0.15715412543675675,0.8021897149159822,-7.788415086825678,CD4+ TE,CD39
CD4+ TE,CD127,CD4+ TE,-0.035789614682721196,0.16398577777777779,-1.4677969636317127,0.16039086847608353,0.8066717208650083,-7.805225137161246,CD4+ TE,CD127
CD4+ CM,TIM3,CD4+ CM,-0.05856938972321592,0.06529825,-1.455807974658197,0.16363840507476948,0.811077312109727,-6.916127458225141,CD4+ CM,TIM3
CD4+ TFH,TNFa,CD4+ TFH,-0.07077264117669844,0.2415385277777778,-1.442530841902921,0.16729768226901062,0.8173686762285948,-6.611581360195835,CD4+ TFH,TNFa
TCRgd+,CD56,TCRgd+,0.0972868925978788,0.07479584916666666,1.413461101264604,0.1755434779874445,0.8404620767149835,-7.697023748681416,TCRgd+,CD56
CD4+ Th1,TIM3,CD4+ Th1,-0.06252555199752885,0.1276825888888889,-1.4086505557944504,0.1769393845715755,0.8404620767149835,-6.75596461758091,CD4+ Th1,TIM3
CD4+ Th1,CD8,CD4+ Th1,-0.08816981862720996,0.5128519444444444,-1.3696018354094066,0.18860628559916798,0.8716668874988575,-6.807441984370632,CD4+ Th1,CD8
CD8+ EM,CD39,CD8+ EM,-0.31581942887295056,0.39390369444444445,-1.3758124030154883,0.18671032807679427,0.8716668874988575,-8.718905682512148,CD8+ EM,CD39
CD4+ CM,CCR4,CD4+ CM,0.04328182713813981,0.015121366666666665,1.3533790997238515,0.19363177586613717,0.8778292813053282,-7.0524371120761264,CD4+ CM,CCR4
CD4+ Naive,TCRab,CD4+ Naive,-0.09828158607350107,2.1507666666666667,-1.3041626451841521,0.20953517474097155,0.8778292813053282,-6.833327727129112,CD4+ Naive,TCRab
CD4+ TE,CD45RO,CD4+ TE,-0.07688640172153026,0.15179209999999999,-1.3056991038443517,0.20902353533728046,0.8778292813053282,-8.018954170445511,CD4+ TE,CD45RO
CD4+ CM,CCR6,CD4+ CM,0.09736988528022385,-0.0786936111111111,1.3254271896069811,0.2025414458727582,0.8778292813053282,-7.088249889717482,CD4+ CM,CCR6
CD4+ EM,CCR6,CD4+ EM,0.09990944814797979,-0.03252298333333333,1.3029541495255663,0.20993829673145062,0.8778292813053282,-8.931441237765629,CD4+ EM,CCR6
CD8+ EM,CCR10,CD8+ EM,-0.06585979390904415,-0.15346896944444444,-1.3112691696936345,0.20717697483229114,0.8778292813053282,-8.801906978115507,CD8+ EM,CCR10
CD4+ Th1,TCRgd,CD4+ Th1,0.14541394772431085,0.4213554166666667,1.302677532624216,0.2100306547647395,0.8778292813053282,-6.892951879744234,CD4+ Th1,TCRgd
CD4+ EM,CD39,CD4+ EM,-0.2211338527478428,0.33338877777777776,-1.3013519604146349,0.21047368733051727,0.8778292813053282,-8.933449946205002,CD4+ EM,CD39
CD4+ EM,CD107a,CD4+ EM,-0.17998679447830312,-0.1819926388888889,-1.2930825908303685,0.21325412824871515,0.8787097814585612,-8.94378525905479,CD4+ EM,CD107a
CD4+ TFH,CCR4,CD4+ TFH,0.033674725965341094,-0.08566248888888889,1.2303150162567005,0.2353081149423143,0.914492901253085,-6.882530068825804,CD4+ TFH,CCR4
CD4+ EM,CCR7,CD4+ EM,0.01905185002484483,0.018887469444444444,1.2407803746820507,0.23151311101646346,0.914492901253085,-9.007892120678838,CD4+ EM,CCR7
CD8+ EM,CXCR2,CD8+ EM,-0.062087456214176585,-0.12736819444444444,-1.246884343702952,0.22932162729563937,0.914492901253085,-8.881445963298601,CD8+ EM,CXCR2
CD4+ TE,CD25,CD4+ TE,0.05503315323063125,0.24590383333333332,1.2304173836958547,0.2352707628092417,0.914492901253085,-8.111275617559665,CD4+ TE,CD25
