"sample","cell_type","marker","p_value","control_mean","KO_mean","p_adj"
"CD52KO_BC9507","CD8 T","TNFa",0.0204785871628763,1.54572403907738,1.49300083655772,0.16100406459089
"CD52KO_BC9507","CD8 T","CD14",0.0238507288550483,-0.303626352282769,0.10806426550797,0.181265539298367
"CD52KO_BC0610","CD8 T","CXCR1",0.0258293797236722,-0.015811267832302,0.070670960487889,0.184179044449912
"CD52KO_BC0610","CD8 T","CXCR2",0.0258496904491104,-0.273725394768417,0.0980120892193053,0.184179044449912
"CD52KO_BC0610","CD4 T","CD45RA",0.0271798868005827,0.874314013336974,0.500707159445797,0.187788308804026
"CD52KO_BC0610","CD4 T","CD19",0.0321141793079075,0.281911327806773,0.428261694031365,0.209200939491512
"CD52KO_BC8599","CD4 T","CD127",0.0321141793079075,1.45374799767524,1.18547655065194,0.209200939491512
"CD52KO_BC0610","CD4 T","CD8",0.037797083908718,1.79316357935383,2.30230672015755,0.239381531421881
"CD52KO_BC0610","CD4 T","CD16",0.0443137922831661,-0.703739889740896,-0.59409667529911,0.241689531659954
"CD52KO_BC0610","CD4 T","CD25",0.0443137922831661,1.38531228043028,2.07207067382998,0.241689531659954
"CD52KO_BC0610","CD4 T","CD39",0.0443137922831661,1.40272759498792,2.53355300352608,0.241689531659954
"CD52KO_BC9507","CD4 T","CD28",0.0447592945755723,2.42292763928502,3.00546842835891,0.241689531659954
"CD52KO_BC9507","CD8 T","CCR6",0.0425827975150111,-0.547684169507585,-0.105131537651115,0.241689531659954
"CD52KO_BC9507","CD8 T","CD28",0.0425827975150111,0.307781553384122,1.53963736104386,0.241689531659954
"CD52KO_BC9507","CD8 T","LAG3",0.0455817976376228,-0.259964495445783,-0.129204694681146,0.241689531659954
"CD52KO_BC0610","CD8 T","CD45RA",0.0508460958338978,1.72708554705378,1.00129159974391,0.263475223866562
"CD52KO_BC8599","CD8 T","CD14",0.0587290727145636,0.493993878798413,0.744246588630882,0.297560635087122
"CD52KO_BC9507","CD4 T","CD45RA",0.0620310418153641,-0.319197664090629,-0.142666900144338,0.307458207258761
"CD52KO_BC9507","CD8 T","IFNg",0.0636282106027889,0.549818211865801,0.308109864378911,0.308664511009274
"CD52KO_BC0610","CD4 T","CD56",0.0697072195778638,-0.0931265068955262,-0.0445390871189899,0.324337855809223
"CD52KO_BC8599","CD8 T","CD8",0.0698218949979952,5.56415444764744,4.63898161258903,0.324337855809223
"CD52KO_BC9507","CD4 T","CD107a",0.0725492572204841,-1.82848793665938,-1.17446702157015,0.324337855809223
"CD52KO_BC9507","CD8 T","CCR7",0.0724892808784848,-0.277179262704879,-0.0489382822142242,0.324337855809223
"CD52KO_BC0610","CD4 T","CXCR1",0.0805752139581355,-0.295123132501005,-0.158315842219834,0.350227001194607
"CD52KO_BC9507","CD4 T","41BB",0.084484583621506,0.963303524258444,1.05260463417406,0.350227001194607
"CD52KO_BC9507","CD4 T","CCR7",0.084484583621506,0.0951708169024888,0.257181264766846,0.350227001194607
"CD52KO_BC9507","CD8 T","CD19",0.0821938329275372,0.10936188102331,0.644183913599759,0.350227001194607
"CD52KO_BC0610","CD4 T","CD62L",0.0926813232523082,0.250249676471626,-0.490393409419882,0.355394319582064
"CD52KO_BC0610","CD4 T","TIGIT",0.0926813232523082,0.283930728245403,0.989283770128473,0.355394319582064
"CD52KO_BC0610","CD8 T","CD62L",0.0935248209426484,0.529980057012465,-0.187147898058476,0.355394319582064
"CD52KO_BC8599","CD4 T","CD56",0.0926813232523082,-0.0118817110028329,0.0337755904152001,0.355394319582064
"CD52KO_BC8599","CD4 T","CXCR2",0.0926813232523082,-0.578371673928194,-0.150709117067971,0.355394319582064
"CD52KO_BC8599","CD8 T","41BB",0.0971639595530036,1.94236584762453,1.39507515257993,0.3631702094768
"CD52KO_BC0610","CD4 T","41BB",0.1062063206816,0.106398218911494,0.204822809016975,0.366894562354618
"CD52KO_BC0610","CD4 T","OX40",0.1062063206816,0.0498038422542823,0.227285390792774,0.366894562354618
"CD52KO_BC0610","CD8 T","OX40",0.102860224726867,-0.219000303459794,0.0219012535551362,0.366894562354618
"CD52KO_BC0610","CD8 T","TIGIT",0.102860224726867,1.17608422175267,1.57276287734319,0.366894562354618
"CD52KO_BC8599","CD4 T","CTLA.4",0.1062063206816,1.45479761151281,2.05757037188766,0.366894562354618
"CD52KO_BC0610","CD4 T","CD28",0.11343055648531,2.67245828535837,3.05190914237978,0.369459526837866
"CD52KO_BC0610","CD8 T","KLRG1",0.112922044776065,1.56692528588685,1.81712316553651,0.369459526837866
"CD52KO_BC9507","CD4 T","CCR4",0.113102203867176,-0.186560946613689,-0.0598026510391673,0.369459526837866
"CD52KO_BC9507","CD4 T","CD40L",0.113102203867176,0.801107462685214,1.26253045062561,0.369459526837866
"CD52KO_BC9507","CD8 T","CTLA.4",0.117750244567693,1.15305118873588,0.918619792780758,0.378127545935691
"CD52KO_BC0610","CD4 T","CD95",0.121250975880738,2.94849426318649,3.41950491903019,0.383961423622337
"CD52KO_BC9507","CD4 T","TCRab",0.130029796383836,3.12963607048193,3.32997075519255,0.406120459938556
"CD52KO_BC8599","CD8 T","CTLA.4",0.132463566807951,0.982864546740105,0.770578469667251,0.408130989624499
"CD52KO_BC8599","CD4 T","LAG3",0.15628771166768,-0.00767369923529376,-0.0551958552628049,0.445419978252888
"CD52KO_BC8599","CD4 T","TCRab",0.15628771166768,3.30887502394499,2.98332312800129,0.445419978252888
"CD52KO_BC8599","CD8 T","CCR7",0.153491715621089,-0.449933115353709,-0.137535549821977,0.445419978252888
"CD52KO_BC8599","CD8 T","CD127",0.153491715621089,0.468721405076021,0.31576341211762,0.445419978252888
"CD52KO_BC9507","CD4 T","TIGIT",0.148860948300328,1.01990270768687,1.46957811044314,0.445419978252888
"CD52KO_BC9507","CD8 T","CXCR5",0.147413383469872,0.0290152812534493,0.250447390658009,0.445419978252888
"CD52KO_BC9507","CD8 T","TCRgd",0.164384047588013,1.86372129052384,1.55407667137704,0.462710652469963
